"","AME_R","LO_R","NO","BU_R","PB","LH_R","LAL_R","SAD","CAN_R","AMMC_R","ICL_R","VES_R","IB_R","ATL_R","CRE_R","MB_PED_R","MB_VL_R","MB_ML_R","FLA_R","LOP_R","EB","AL_R","ME_R","FB","SLP_R","SIP_R","SMP_R","AVLP_R","PVLP_R","IVLP_R","PLP_R","AOTU_R","GOR_R","MB_CA_R","SPS_R","IPS_R","SCL_R","EPA_R","GNG","PRW","GA_R","AME_L","LO_L","BU_L","LH_L","LAL_L","CAN_L","AMMC_L","ICL_L","VES_L","IB_L","ATL_L","CRE_L","MB_PED_L","MB_VL_L","MB_ML_L","FLA_L","LOP_L","AL_L","ME_L","SLP_L","SIP_L","SMP_L","AVLP_L","PVLP_L","IVLP_L","PLP_L","AOTU_L","GOR_L","MB_CA_L","SPS_L","IPS_L","SCL_L","EPA_L","GA_L"
"Ntwk12",0,0,0.000112520779191063,0,0.000383325505629931,0,0.00148919010279493,0.184777754948614,0.000160406980817448,0.0387418242566965,0,0.00782904012698571,0,9.43570475396754e-06,0,0,0,0,0.000171729826522209,0,0,0.00419134005171238,0,0.0108784240108492,0,0,1.32099866555546e-05,0.00496837033820161,0.00640825888365705,0.0545459220417355,0.00210958769036829,0,6.03885104253922e-05,0,0.0360993551403479,0.115456934617879,0,0.00137784878669811,0.200979803581652,0.0039252531776505,0,0,0.000115115597998404,0,8.49213427857078e-05,1.88714095079351e-06,0.0060737631501289,0.0852940531234896,0,0.00915121825563541,0.000120777020850784,0.0012492873094253,0,0,0,0,0.000469898096747583,0.00065106362802376,0.000307603974979342,0,0,0,0.000307603974979342,0.00823359596831207,0.00468128902106214,0.0855301816349576,0.00612471595580033,0,3.82146042535685e-05,0.000101905611342849,0.0538177215273481,0.0617864100846925,0.000781276353628512,0.000387571572769217,0
"Ntwk13",0,0,0.000393549557786979,2.39943116342633e-05,0.000687908345157316,0.000279362342598922,0.00011140216115908,0.000470674130897111,0,0,5.14163820734213e-06,4.28469850611844e-05,5.31302614758687e-05,0,5.31302614758687e-05,0,0.00011504415488928,0.000862081339431031,5.31302614758687e-05,0,0.000713402301268721,0,0,0.00298921991279353,0.00187669794567988,0.00059471615264924,0.00454542241021575,0,0,0,0.000260509669172001,1.19971558171316e-05,0,0.00058207629205619,0,0,7.19829349027898e-05,0,0.0036574186448227,0.0012372066936417,0,6.51274172930003e-05,0.0183093736563453,0.000153177971593734,0.13620670928085,0.000315353810050317,0,3.42775880489475e-06,0.0196342024344371,0.00141587862134684,0.00069926279619853,0.000980767488050511,0.00934107121318881,0.00755499464091334,0.0118056297939081,0.0159403638523124,0.000906642203894662,0,7.45537540064609e-05,0.00995935320762171,0.249661455259285,0.0533374266486395,0.141580363912298,0.112440772076963,0.0285952208901333,0.00219205175573019,0.0469410144837806,0.0141806381758496,0.0055422575176642,0.0283460656720025,0.00315760856408399,0.0003472748139209,0.0588666158358601,0.00170188224663025,5.14163820734213e-05
"Ntwk14",0,0,0.000253014207450566,0,0.000832838432858112,0,3.51408621459119e-06,0,0,0,5.97394656480502e-05,0,0,0,0,0,0,0,1.05422586437736e-05,0,0,0,0,0.0375128703407609,0,0,3.51408621459119e-06,0,0,0,0,0,0,0,0,0,2.45986035021383e-05,0,0.0410208069044766,0.0139627823129013,0,0,0,0.00023544377637761,0.207968893308828,0.0210792461582252,0,0.000885549726076979,0.0150916825093387,0.0116882900105071,0.00825590630040517,0.000790669398283017,0.0029904873686171,0.00874304650190288,0,0.000959345536583394,0.000749378885261571,0,0.46214406699254,0,0.0223750654498557,7.37958105064149e-05,0.00301508597211924,4.91972070042766e-05,0.000245986035021383,0,6.67676380772326e-05,1.40563448583648e-05,0.00118161148965629,0.117992472827328,0,0,0.0196564805020926,0,6.32535518626414e-05
"Ntwk15",0,0,5.18473392130685e-05,0,0.124134566065546,0,3.70338137236204e-06,0,0,0,0,0,0.00234794379007753,0.016137021407396,0,0,0,0,0,0,0.0166744746290601,0,0,0.418283501250817,0,0,0.00665682801682076,0,3.33304323512583e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031895372069468,0,0.104879297542621,0,0,0.00222202882341722,0,0.00121239447677702,0.00598605306575169,0.185831510961083,0.000941584713923047,0,0.00561201154714312,0,0,0,0,0,0,0.000159245399011568,0.0316777984138418,0.0209903026958765,0.0117327751103145,3.70338137236204e-06,0,0,0,0,6.52720966878809e-05,0,8.14743901919648e-05,0.0410917938623861
"Ntwk16",0,0,0.000200414584898123,0,0.11070081791925,0,0.135563613638941,0,0,0,6.92341293284426e-05,0,0.000940582085942329,0.00380833260075729,0.216516074843916,0.000102029243220863,3.64390154360224e-06,0.0105454510671849,0,0,0.0225220444656196,0,0,0.400291694318565,0,0,0.000572092542345552,0.00153089413600589,0.0267462373300405,0.00542713586150259,0.00456580863413361,0,0,0,0,0.0044733446324647,0,0.00150128743596412,0,0,0.0166084477480461,0,0,0,0,0,0,0,0,0,0.0029269639148985,0.0299965975069337,0,0,0,0,0,0,0,0,0,0,0.0043872574584971,0,0,0,0,0,0,0,0,0,0,0,0
"Ntwk17",0,0,0.00162479554465761,0,0.00520379880167047,0,9.13447952021146e-05,0,0,0,0.0095592328179013,0,0.029028234105292,0,0.000735325601377023,0,0,0.00196676762169553,0,0,0.0953736715754979,0,0,0.843413897539685,0,0,0,0,0,0,0,0,0.00444792062137297,0,0.00717798818797617,0,0,0,0,0,9.13447952021146e-05,0,0,8.22103156819032e-05,0,0,0,0,0,0,0,0,0.000424753297689833,2.28361988005287e-05,0,0.000755878180297498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ntwk18",0,0,0.00232669353593009,0,0.00764525732421123,0,0,0,0,0,6.83986340792774e-05,0,0.000196076084360595,5.01589983248035e-05,0.00184676312014049,0.000269034627378491,0,0.00374368523860578,0,0,0.110851956286433,0,0,0.792735609069887,0,0,0,0,0,0,0,0,3.70492601262753e-05,0,0,0,0,0,0,0,0.000465110711739087,0,0,0.00154580913019167,0,2.27995446930925e-05,0,0,0.0385973492109363,0,0.0076925663794494,5.92788162020404e-05,0.00255924889179963,0.00153668931231443,9.11981787723699e-06,0.00594726123319317,0,0,0,0,0,0.00024167517374678,2.7359453631711e-05,0,0,0,0,0,0.00583041356664107,0.000145917086035792,0.0148784128780948,0,3.6479271508948e-05,0,0.000633827342467971
"Ntwk19",0,0,0.000422644699205277,0,0.0489135767062393,0,0.0248950665934945,0,0,0,0.00148087371009808,0,0.00206201017150534,0.00714776284025863,0.0386692945391502,4.31270101229875e-06,0,0.0345927139072748,0,0,0.0901979853217221,0,0,0.603913991803712,0.000828038594361359,0,0.0132885099941455,0,4.74397111352862e-05,0,0,0,4.74397111352862e-05,0,0.000189758844541145,0,0,0,0,0,0.00259193330839155,0,0,0.000418331998192978,0,0.0345145462014269,0,0,0.00839682887094566,0,0.00166092897736155,0.00979306582367738,0.0394213217781698,0.00072022106905389,0,0.022216879264857,0,0,0,0,0.00124205789154204,0,0.00895801909017103,0,0,0,0,0.000383830390094588,0.000280325565799418,0.000321296225416257,0.000862540202459749,0,0,0,0.00151645349344955
"Ntwk20",0,0,0.000426158575668064,0,0.107300314062832,0,1.37470508280021e-05,0,0,0,0.0362515458272259,7.3317604416011e-05,0.0118247548872198,0.000508640880636076,0,0,0,0.00960288779714394,0,0,0.1373049708763,0,0,0.289632031544899,0,0,0,4.58235027600069e-06,3.66588022080055e-05,0,0,0,0.00152592264190823,0.000678187840848101,0.00296077107208094,0,0,0,0,0,0,0,0,0.00496497652404674,0,0.0818482222485707,0,0,0.00435380555598515,0,0.000247446914904037,0.00027035866628404,0.16396222081315,0.0013517933314202,0,0.0329980771312654,0,0,0,0,0,0,0.000151217559108023,0.0350389413854392,0.0207219607418596,0.00942875848665591,9.16470055200137e-06,0,0,0,0,5.04058530360075e-05,0,5.49882033120082e-05,0.0464031700699209
"Ntwk21",0.000962097774666303,0.045606729021996,0.000317095895770167,1.2354385549487e-05,0.00165960579214776,0.000708318104837257,0.000107071341428888,0.00585597875045686,0,4.89027761333862e-05,0.00627190973062292,0.000172961397692818,0.000511162702110026,0,0.0173249666688973,0.0280321008117861,0.0383850759022562,0.0669895965778352,0,0.0781888470784452,0.00481821036429994,0,0.0285803266705446,0.000238851453956749,0.0116254768020673,0.0133880358071275,0.0020961274148963,0.0304401764618069,0.00390707443002527,0.0014222986363847,0.0300762368541616,0.0036198349659997,0.000494175421979481,0.0498128825355317,0.00684947725506144,0.0286158455289993,0.00300623381704185,0.000172961397692818,0.0588562927577562,5.76537992309395e-05,0,0.00351533745489362,0.057192568837092,5.76537992309395e-05,0.000473584779397003,0.000617719277474352,0,9.88350843958963e-05,0.003331565969845,1.2354385549487e-05,0.000104497511106078,0,0.00614424774661155,0.0183297900269223,0.0274802715905757,0.0348723122776854,0,0.0613101825875231,0,0.0657495251283054,0.000271796482088715,0.00303506071665732,0.00313801392956971,0.00144546310928998,0.00324920339951509,0.00220834641697081,0.0443208433927202,0.00182433093280759,0.00102129587209093,0.0324673252240519,0.0204161368865919,0.0307814663626115,0.00673725825298693,0.000494175421979481,6.58900562639309e-05
"Ntwk22",0,0.00466344409547509,0.000173848431653516,0,0.00195333257594359,3.29831016575841e-05,0,0.00487623091102992,0.000914364873729693,0.000762963275148699,0.00323784114605284,0.000354339293501962,0.0105660449962802,0.00134245804732709,0,0,0,0,0.000526584379936013,0.00104812967489656,0,0,4.58098634133112e-05,0.00414854123070947,0.00038113806359875,0,0.000879549377535576,0,0,6.23014142421033e-05,0.00120960944342848,0,0.000350216405794765,6.77985978517007e-05,0.0133792287084917,0.00313087511498276,0.000947347975387277,2.38211289749219e-05,0.00599215918377818,0.000672488794907409,0,0.00097437579480113,0.0564414165142725,7.14633869247655e-05,0.00723085789047411,6.80276471687672e-05,0.00495250433361308,0.000869471207584648,0.0762747968790656,0.00359790667248147,0.0712934323315022,0.00251358720548839,0.000601025407982644,0.010878239215442,0.00017224508643405,0.000513070470229086,0.00170321072170691,0.018212169298596,0.00134864237888788,0.221812274844521,0.0152924776539486,0.00117639729245383,0.0065070620485438,0.0210457384000264,0.0201714571567833,0.00271171486475096,0.0729476264993568,0.00516643639575324,0.011569968152983,0.000713488622662323,0.206214016352289,0.0578933601351574,0.0362376634037828,0.00108042562860295,0
"Ntwk23",0,0,0.00100228931992392,0.00018830890253116,0.0133418376063509,0,0,0,0,0,0.00281855905724059,0,0.0105027771766573,0.00561282019157394,0.00450043090847656,0.00060137359195435,0,0.0100282083698751,0,0,0.107983006640167,0,0,0.804479170225933,0,0,0.00213821721583769,0,0,0,0,0,0.000103266172355798,0,6.07448072681162e-05,0,0,0,0,0,0,0,0,6.68192879949278e-05,0,0,0,0,0.0127989308913921,0,0.00338956024556088,0.00215947789838153,0.00650425023823354,6.07448072681162e-05,0,0.00529315064332548,0,0,0,0,0,0,0.00224148338819349,0,0,0,0,0,0.00113592789591377,0,0.00274566528851885,0,0,0,0.000242979229072465
"Ntwk24",0,0.0058292706160686,9.95241324694639e-05,0.000167769251877096,0.000986710684768685,0.00353097404268448,0.000270136930988545,2.84354664198468e-06,0,0,0.00204308826226599,0.000301415944050376,0.000143243662089978,0.000939436721845689,0.0929217726101057,0.0129523549542402,0.0287198210840453,0.132961397432562,0.00257376515432639,0.0160347595141516,0.0158460191057899,7.39322126916017e-05,9.09934925435098e-05,0.00623909677584464,0.035823000595723,0.0338645078460561,0.173540585230334,0.00385016215324726,0.000890030098941205,0.00108623481723815,0.00325372824509097,0.075080294648303,1.70612798519081e-05,0.0189820956085687,0.000301415944050376,0.00174878118482058,0.00474445757215144,0.000304259490692361,2.87909097500949e-05,0.000590035928211821,0.000258762744420606,0,0,0.000149641642034444,2.55919197778621e-05,0,0,0,0.00131905019855064,0,0,0.000164925705235112,0.0362502434786812,0.0139934484685369,0.00927458281616329,0.079038867017276,0.000117296298981868,0,0,0,0.00561422740126851,0.0165853412327059,0.089476460410011,0.000917754678700556,9.09934925435098e-05,0,1.99048264938928e-05,0.0619264033258122,3.69661063458009e-05,0.00579372628304379,0.000269781487658297,0.000127959598889311,0.00150956782356362,0,0.000204735358222897
"Ntwk25",0,0.0139876204180089,0.000396224866795927,0.000288163539487947,0.00200641020747775,0.000618788262774614,0.000787201722111113,0.0122448035144502,0.000269079861376162,0.00186280552968657,0.0321972660722737,0.0030560125036259,0.0160932657516679,0.00318387314697486,0.000980901054945726,0.000461825010305186,0.000736629975114884,4.96175630906398e-05,0,3.81673562235691e-05,0.000326330895711516,0.000221370666096701,0,0.0302726771347002,0.00254719393597044,0.00287924993511549,0.00776252461794476,0.0154625501900734,0.0107460191447459,0.00309370276789667,0.017290528007206,0.00325138165829529,0.0078302716752416,9.6372574464512e-05,0.0471507591487153,0.018747089739088,0.0101971248530557,0.000989727256072426,0.00695647776369826,0,0,0,0.0320930214805881,0.000154339246729058,0.00436443718416513,0.00115026869818781,0.000474706493030641,0.00305935214729546,0.133821907299125,0.00326187768125677,0.051429081235401,0.00699941603944978,0.000540068090563503,0.00212926138532236,0.000588015831819362,5.91594021465321e-05,3.81673562235691e-06,0,3.05338849788553e-05,0.000297705378543839,0.0146009221233264,0.00802110845635944,0.0405788174989695,0.107172027907971,0.0502544808476206,0.00229314247110731,0.0476610089922291,0.00499276728599563,0.0177165711210516,0.00023472924077495,0.115878717500496,0.018354443061938,0.0533799102303782,0.00329575120990519,2.86255171676768e-05
"Ntwk26",0,0,0,0,0.00112196212911883,0.231487624869539,0.0266214402862681,0.000129218229710253,0,0.000702002882560509,0.0075965409273893,0.00721074996272551,0.00647830624720441,0.000755429650613787,0.0052811738979176,0.0100094428706327,0,0.000387654689130759,0.000899557676059838,0,0,0.42924494309428,0,0.0429464241339894,0.00394798966254162,0,0.00415113562944188,0.000183887480741514,0.000198797276477312,0,0.00180408528403161,0,0.000882162914368073,0.0940708712290642,0,0,0.0357512052084886,0,0.069449828537349,0.0175339197852989,0.000368396202972019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000785249242085384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ntwk27",0,0,0.00372440250347263,0,0.119754183908951,0,0.11380494823343,0,0,0,8.28872960713494e-05,0,0,0,0.18190031559338,0.000362631920312154,0,0.046748434984241,0,0,0.104958801560215,0,0,0.287694206661514,0,0,4.42065579047197e-05,0.000757728031585586,0.0242742353819619,0.00367190721596078,0.00348679225473476,0,1.65774592142699e-05,0,0,0.00411190061260619,0,0.000917286076522933,0,0,0.0159903408670978,0,0,0.000215506969785508,0,0,0,0,0.0654001487826964,1.10516394761799e-05,0.00170195247933171,0.00100017337259428,0.00122120616211788,7.73614763332594e-05,0,0.00834605998691762,0,0,0,0,0,9.39389355475293e-05,0,0,0,0,0,0,0.00172612794068585,0.00222414244458121,0.00543740662228052,0,0,0,0.000243136068475958
"Ntwk28",0,0.0261696224990856,0.00928796409422348,0.000194547987206524,0.000223730185287503,0.0032353330272445,0.250896866221022,0.00577005011556151,0.000544734364178268,0.0014848875123538,0.00835194509077609,0.0855162428114519,0.0114651992560485,0.00142020030660763,0.0700521096783733,0.00206658599410131,0.00325673330583722,0.0275613701625643,0.00327813358442994,0.00460640996708248,0.00898763063897341,0.00123537971876143,0.0363999284063407,0.0104897842851918,0.000902702660638273,0.00983026660856167,0.0210347715617534,0.0259762904367991,0.0174908367898026,0.0347226815716365,0.0326680116417516,0.0035424756620468,0.00837577721920889,0.00213030045991144,0.106497513676724,0.0876100655237621,0.00403297977479125,0.0363848509373322,0.0273809269044302,0.000494151887504572,0.00159553668007751,0,0,0,0,0,0,0,0,0,8.94920741150012e-05,0,0.000416332692621962,0,6.80917955222835e-05,0.00546485296063127,0.000194547987206524,0,0,0,0,1.16728792323915e-05,0.000466915169295658,0,0,0,0,5.64189162898921e-05,0,0,6.61463156502183e-05,0,0,0,0
"Ntwk29",0,0,0,0,0.000471512770137525,0,0,0,0,0,0,0,0,0,6.28683693516699e-05,0,1.57170923379175e-05,0.000683693516699411,0,0,0.00891159135559921,0,0,0.000605108055009823,0,7.85854616895874e-06,0,0,0,0,0,0,0,1.57170923379175e-05,0,0,0,0,0,0,0,0,0,0.00012573673870334,0.00235756385068762,0.00133595284872299,0,0,0.00725343811394892,0.000196463654223969,0.000204322200392927,0,0.0458153241650295,0.131379174852652,0.162986247544204,0.289461689587426,0,0,0.00123379174852652,0,0.00126522593320236,0.00616110019646365,0.02437721021611,0,0,0,0.00400785854616896,0.00178388998035363,5.50098231827112e-05,0.265343811394892,0,0,0.0435677799607073,0,0.00031434184675835
"Ntwk30",0,0,0.000440129856800607,6.28756938286582e-05,0.00019232565171119,0.00110217392711413,0.000303282758467645,0.166799969301867,0.00231900353120992,0.0215626644130045,0.000613962657385721,0.00864402093760604,0.000433657358906481,0.000151641379233823,0.000332871320269367,7.76699747295189e-05,0.000155339949459038,4.06842724773671e-05,0,0,2.58899915765063e-05,0.000347665601170228,0,0.00458252850904162,0,0.000251502775314633,6.28756938286582e-05,0.00264678931741962,0.0148090751817616,0.0480472011532142,0.0229972473391099,0,0.000677300672492531,4.80814129277974e-05,0.0598063428630077,0.0777009502551551,0.000543689823106633,0.00139667258129689,0.0421794194909103,0,0,0,0.00591031521989387,7.39714045043037e-05,6.28756938286582e-05,0.00136985794716407,0.00154137914135843,0.0701184189721858,0.000199260470883468,0.00856126542881685,0.000129449957882532,0,3.69857022521519e-06,0,0,7.39714045043037e-06,0,0.0165289103364867,0.00267360395155243,5.54785533782278e-05,4.43828427025822e-05,0.000332871320269367,0,0.0142982101694038,0.00815950823810285,0.208207312258264,0.0104544710628489,0,0.000428109503568658,0,0.0768692342757598,0.092325096925656,0.000196024221936405,0.0020933907474718,0
