"","Surface","Volume","N_bifs","N_branch","Width","Height","Depth","EucDistance","PathDistance","Branch_Order","Contraction","Fragmentation","Partition_asymmetry","Bif_ampl_local","Fractal_Dim","Bif_ampl_remote","Length"
"Class #16",4161.87220689655,1040.46808275862,28.0965517241379,57.1931034482759,139.418717241379,224.757482758621,57.154,286.845737931034,613.147648275862,12.2344827586207,0.768324979310345,264.848275862069,0.576628986206897,99.6089917241379,1.13346372413793,94.4936779310345,1324.76537241379
"Class #17",4642.53254385965,1160.63288596491,23.9824561403509,48.9649122807018,142.46040877193,179.69558377193,106.024868421053,207.507530701754,567.998964912281,13.1666666666667,0.777869802631579,205.482456140351,0.622393662280702,95.8480815789474,1.11992368421053,91.4532622807018,1477.76375877193
"Class #18",4428.35279620853,1107.0881943128,24.0995260663507,49.1990521327014,136.906555450237,181.411670616114,103.801469194313,205.183492890995,564.45209478673,12.9336492890995,0.781163369668246,203.037914691943,0.605736663507109,96.1018071090047,1.12297563981043,91.6892388625592,1409.58842180095
"Class #19",4131.59152439024,1032.89783536585,25.5,52,118.789660365854,211.460534756098,94.9321341463415,245.925304878049,524.557012195122,11.0731707317073,0.780947036585366,227.939024390244,0.572330829268293,96.5031567073171,1.11886780487805,92.8517402439024,1315.1262804878
"Class #20",3901.58413533835,975.395939849624,23.8721804511278,48.7443609022556,147.283333082707,254.819952631579,96.6329323308271,286.892842105263,607.103992481203,9.52631578947368,0.770574263157895,239.360902255639,0.535568142857143,92.1904669172932,1.12485308270677,84.400930075188,1241.91287969925
"Class #21",6158.7184673913,1539.67952717391,23.2771739130435,47.554347826087,242.443536956522,297.923326630435,141.909402173913,328.989238586957,803.984092391304,11.5108695652174,0.763996423913043,246.108695652174,0.622993554347826,103.137957608696,1.10262826086957,94.4525728260869,1960.38122826087
"Class #22",9852.07875,2463.01998809524,46.1488095238095,93.2976190476191,208.312047619048,354.313369642857,119.996369047619,383.242529761905,809.500785714286,18.0654761904762,0.788022458333333,408.720238095238,0.63376394047619,100.244525,1.09517666666667,97.1905970238095,3136.01422619048
"Class #23",4179.4198125,1044.85496875,22.53125,46.0625,121.951823125,183.877568125,92.87975,207.82100625,527.0537375,12.175,0.7754054,200.29375,0.623397725,99.040016875,1.11738175,95.95524,1330.35063125
"Class #24",7673.26879120879,1918.31721978022,40.9175824175824,82.8351648351648,171.954262087912,278.069348351648,109.456483516484,308.576206043956,725.679483516484,16.9340659340659,0.774689406593407,365.769230769231,0.609719752747253,99.6911038461539,1.10869994505495,95.777921978022,2442.47743956044
"Class #25",10840.8766292135,2710.21897191011,53.0393258426966,107.078651685393,233.194900561798,428.103613483146,114.483370786517,470.000146067416,915.349382022472,21.1797752808989,0.78850358988764,465.685393258427,0.637830983146067,98.5510685393258,1.10015393258427,94.8677775280899,3450.75811797753
"Class #26",6307.09538461538,1576.7740295858,23.8461538461538,48.6923076923077,280.374591715976,325.636928994083,170.649881656805,414.376047337278,909.332183431953,12.0887573964497,0.791491349112426,225.526627218935,0.612825680473373,98.1663266272189,1.09764781065089,91.5571603550296,2007.61096449704
"Class #27",3888.35291262136,972.087932038835,21.3106796116505,43.621359223301,145.74132815534,262.553446601942,96.5879611650485,283.377893203884,636.530621359223,9.29126213592233,0.755799446601942,225.291262135922,0.560689485436893,98.1458446601942,1.13522669902913,90.1483436893204,1237.70144660194
"Class #28",12918.7715822785,3229.69289873418,72.0822784810127,145.164556962025,195.305967088608,300.39867278481,140.12253164557,352.646424050633,846.598341772152,24.5189873417722,0.784532721518987,598.145569620253,0.634844487341772,98.7528341772152,1.11007727848101,95.3959924050633,4112.17315822785
"Class #29",4520.11986577181,1130.0302885906,10.9194630872483,22.8389261744966,237.785036241611,290.356946308725,163.556040268456,330.476906040268,818.697906040268,7.86577181208054,0.750195187919463,153.704697986577,0.615163697986577,106.105611409396,1.10025590604027,94.7503456375839,1438.79895302013
"Class #30",6966.69606060606,1741.67373939394,30.0909090909091,61.1818181818182,239.24146,386.987864242424,116.575333333333,450.106442424242,806.996539393939,14.2606060606061,0.793031454545455,279.654545454545,0.604160921212121,95.9675612121212,1.10345084848485,93.1320381818182,2217.56781818182
"Class #31",7918.679,1979.66974666667,34.58,70.16,266.828516666667,314.441328,166.0084,390.674406666667,908.44656,15.8866666666667,0.788154986666667,307.573333333333,0.619345466666667,98.3498026666667,1.1048496,93.2926593333333,2520.59407333333
"Class #32",10272.9808333333,2568.24515151515,62.1212121212121,125.242424242424,202.586241666667,292.818688636364,121.312954545455,314.938478787879,866.888606060606,24.280303030303,0.773955962121212,526.560606060606,0.643775856060606,99.8745962121212,1.11580075757576,95.7500022727273,3269.99134090909
"Class #33",8636.74087591241,2159.18489051095,41.3430656934307,83.6861313868613,248.647324087591,321.788902919708,119.860145985401,385.309028467153,818.355182481752,17.1824817518248,0.788760452554744,360.36496350365,0.617489518248175,98.5408218978102,1.10391510948905,95.819595620438,2749.15918248175
"Class #34",12371.6422068966,3092.91170344828,57.8413793103448,116.68275862069,231.752182758621,500.2669,124.561034482759,537.429510344828,1020.14917241379,22.4965517241379,0.790764220689655,504.786206896552,0.617934289655172,98.4351393103448,1.09869172413793,94.5790117241379,3938.01544137931
"Class #35",9285.56008,2321.390432,42.608,86.216,228.40474,433.1036144,130.59432,467.832368,1000.384136,19.608,0.776815664,395.472,0.634166176,98.3462984,1.10822568,94.4812264,2955.685432
"Class #36",19066.9140769231,4766.72756153846,110.530769230769,222.061538461538,250.786403076923,334.126406923077,143.902692307692,394.536996923077,1003.18105384615,30.0230769230769,0.784967292307692,925.653846153846,0.623379176923077,95.8310223076923,1.10986684615385,93.3489869230769,6069.18598461538
"Class #37",24970.8040163934,6242.69926229508,144.459016393443,289.918032786885,259.098764754098,363.4214,157.859016393443,406.097942622951,1096.33732786885,36.5901639344262,0.787626581967213,1182.66393442623,0.634787090163934,96.5310844262295,1.10798639344262,93.9897467213115,7948.45270491803
"Class #38",15291.8060344828,3822.94967241379,82.9310344827586,166.862068965517,157.580368965517,195.263693103448,83.1801724137931,207.828203448276,745.927724137931,24.5,0.757787396551724,695.137931034483,0.615288362068966,101.606696551724,1.11738327586207,97.8425775862069,4867.52839655172
"Class #39",25630.739,6407.6835,150.308333333333,301.616666666667,265.1282675,383.752221666667,152.993333333333,429.925973333333,1130.88310833333,36.975,0.788613375,1237.68333333333,0.637491041666667,96.9331091666667,1.10730575,94.6763783333333,8158.5185
"Class #40",13495.9578448276,3373.98926724138,77.0603448275862,155.120689655172,219.71815,292.12115862069,149.418793103448,322.277577586207,889.063870689655,25.7327586206897,0.78204325,670.431034482759,0.636199594827586,97.9567413793103,1.11376879310345,94.8323215517241,4295.89609482759
"Class #41",4149.51306930693,1037.37840594059,22.4554455445545,45.9108910891089,120.978196039604,179.897743564356,90.1366336633663,205.485686138614,513.69901980198,11.9405940594059,0.770940346534653,204.376237623762,0.617348306930693,99.493598019802,1.12198742574257,93.3341821782178,1320.83158415842
"Class #42",14668.70808,3667.1776,69.216,139.432,223.842492,378.488548,101.1288,391.420232,883.044504,23.528,0.782919,570.544,0.634391536,99.2914728,1.09760968,95.3004328,4669.19616
"Class #43",5817.77034482759,1454.44263218391,38.6551724137931,78.3103448275862,129.325371264368,263.210689655172,107.724022988506,293.331252873563,670.753275862069,15.4942528735632,0.772648034482759,336.264367816092,0.596188954022989,93.9845045977011,1.13062172413793,86.8629563218391,1851.85344827586
"Class #44",4572.42720338983,1143.10718644068,9.98305084745763,20.9661016949153,250.84448220339,286.521584745763,163.617881355932,322.377966101695,810.441618644068,6.90677966101695,0.745117042372881,148.228813559322,0.584931008474576,105.753170338983,1.09961415254237,93.6431347457627,1455.44938135593
